tabled_Innskudd,tabled_Antall eiere,tabled_Hjuldrift,tabled_1. gang registrert,tabled_Antall seter,tabled_Drivstoff,title,tabled_Antall dører,tabled_Bilen står i,tabled_Reg.nr.,tabled_Salgsform,tabled_Avgiftsklasse,price,tabled_Str. lasterom,tabled_Km.stand,place,tabled_Årsmodell,tabled_CO2 utslipp,tabled_Hjuldriftnavn,tabled_Karosseri,tabled_Årsavgift,tabled_Pris eks omreg,tabled_Vekt,tabled_Girkasse,tabled_Fargebeskrivelse,tabled_Farge,tabled_Omregistrering,id,tabled_Forrige pris,tabled_Effekt,tabled_Sylindervolum,tabled_Interiørfarge
,5,Forhjulsdrift,25.06.2003,5,Diesel,Volkswagen Passat,5,Norge,DK60978,Bruktbil til salgs,Personbil,41469,,235500,2230 Skotterud,2004,194 g/km,,Stasjonsvogn,Inklusiv,39900,1 496 kg,Automat,,Svart,1569,98364095,,131,"1,9 l",
,1,Forhjulsdrift,21.06.2013,5,Bensin,Kia Sportage,5,Norge,KH92144,Bruktbil til salgs,Personbil,225660,,57878,3513 Hønefoss,2013,149 g/km,,SUV/Offroad,Inklusiv,222000,1 305 kg,Manuell,,Hvit,3660,91380134,,135,"1,6 l",
,,Bakhjulsdrift,11.06.1963,5,Bensin,Ford,2,Norge,F6344,Bruktbil til salgs,Personbil,60000,,81000,1903 Gan,1963,,,Cabriolet,,,,Automat,,Rød,Fritatt,98261318,,,,
,5,Forhjulsdrift,04.07.2002,5,Diesel,Volkswagen Passat,4,Norge,ST67168,Bruktbil til salgs,Personbil,23569,,192000,5725 Vaksdal,2003,192 g/km,,Sedan,Ikke inklusiv,22000,1 452 kg,Automat,,Svart,1569,98365313,,131,"1,9 l",Beige
,,Forhjulsdrift,13.11.2014,5,Elektrisitet,Volkswagen Golf,5,,EL51658,Auksjon,Personbil,150064,,76827,3170 Sem,2015,,,Kombi 5-dørs,Ikke inklusiv,,1 510 kg,Automat,Blå,Blå,6064,98365470,,116,,
,,Bakhjulsdrift,21.10.2014,5,Diesel,BMW 5-serie,5,Norge,,Bruktbil til salgs,Personbil,419000,,49600,1520 Moss,2014,,,Stasjonsvogn,Inklusiv,412936,1 735 kg,Automat,SPACEGRAU METALLIC (A52),Grå,6064,98365460,,184,2 l,STOFF GREY SHADOW ANTHRAZIT (AZAT)
,,Firehjulsdrift,14.06.2007,2,Diesel,Toyota Land Cruiser,5,Norge,XR51473,Bruktbil til salgs,Varebil,285000,,272973,7820 Spillum,2007,,,Kasse,Ikke inklusiv,283745,2 120 kg,Automat,,Grå,1255,98365394,,173,3 l,
,5,Firehjulsdrift,26.09.2003,5,Bensin,Audi A4,5,Norge,BP84166,Bruktbil til salgs,Personbil,40000,,256000,2390 Moelv,2003,223 g/km,Quattro,Stasjonsvogn,Inklusiv,38431,1 515 kg,Manuell,,Grå,1569,98363205,,163,"1,8 l",
,1,Bakhjulsdrift,27.12.2013,5,Diesel,Mercedes-Benz E-Klasse,4,Norge,SD70175,Bruktbil til salgs,Personbil,339900,565 l,92750,5538 Haugesund,2014,,,Sedan,Ikke inklusiv,336240,1 660 kg,Automat,Sølv metallikk,Sølv,3660,98365290,,136,,Sort skinnintriør
,,Firehjulsdrift,02.12.2013,5,Diesel,Mercedes-Benz C-Klasse,,Norge,,Bruktbil til salgs,Personbil,389000,,40500,3400 Lier,2014,,,Stasjonsvogn,Ikke inklusiv,385340,1 660 kg,Automat,,Hvit,3660,98365286,,170,"2,1 l",
